call_id,caller_id,reciever_id,call_product_id,product_name,final_matched_pc_item_id,final_matched_pc_item_name,reason,call_price,catalog_price,price_diff_absolute,price_diff_percent
647013232,51422428,152298969,P1,Windows Touch Screen POS Machine Desktop,246884449.0,Shreyans SRS95A Android Touch Pos with Inbuilt Printer & Software,Tie broken by price proximity,38000.0,37000.0,1000.0,2.7027
647068849,180874980,24108739,P1,"Label Tape, White, 9mm",185877286.0,Shreyans Direct Thermal Label,Only valid candidate,770.0,250.0,520.0,208
647068849,180874980,24108739,P2,"Label Tape, White, 12mm",,,,880.0,,,
647110808,243238626,72509641,P1,Ginger Peeling Machine,,,,,,,
647207360,213810738,72509641,P1,Garlic Peeling Machine Small,,,,12500.0,,,
647267983,72227690,42728554,P1,Gas Geyser Circuit,,,,,,,
647267983,72227690,42728554,P2,Relay for Gas Geyser Circuit,,,,,,,
647275719,213810738,72509641,P1,Lakshmi Solapur Machine Small Variant,308889052.0,Pos Machine,Only valid candidate; no identifiers or brand in call product; category compatible,12500.0,19500.0,7000.0,35.8974359
647345583,142518417,24108739,P1,Printer Machine TP 70E,146656067.0,TP70E Cable ID Printer,Identifier exact match with call product model 'TP70E',,29500.0,,
647377483,121466293,152298969,P1,"Chromo Labels 4x6, 90 GSM Roll",185877286.0,Shreyans Direct Thermal Label,Only valid candidate matching label roll product type,180.0,250.0,70.0,28
647435234,195792020,152298969,P1,Screen Auto Cutter,,,,4500.0,,,
647537880,194251661,42728554,P1,Mallcom Fixon Vacuum Cleaner 30 Litre,,,,,,,
647537880,194251661,42728554,P2,Mallcom Fixon Vacuum Cleaner 70 Litre,256243937.0,Wireless Handheld Vacuum Cleaner,Only valid candidate; category compatible and no contradictions,,1250.0,,
647537880,194251661,42728554,P3,Mallcom Fixon Car Washer Copper 2500 Watt,,,,,,,
647537880,194251661,42728554,P4,Mallcom Fixon Car Washer Aluminum 1800 Watt,275498405.0,Car washer variable controller,Only valid candidate with matching category and no contradictions,,3300.0,,
647537880,194251661,42728554,P5,Mallcom Fixon Car Polisher,,,,,,,
648103432,110494798,152298969,P1,Level Printer For Paper Labels,155377731.0,Epson LW 400 Label Printer,Highest score among valid candidates,4500.0,4405.0,95.0,2.156
648142096,153578193,24108739,P1,TP 70 Printing Machine Cartridge,,,,900.0,,,
648142096,153578193,24108739,P1,TP 70 Printing Machine Cartridge,,,,7100.0,,,
648210716,238617305,152298969,P1,Thermal Printer 3 Inch,250008539.0,SHREYANS SRS-KP307 3 inch Thermal Printer with Autocutter (USB+Bluetooth),Highest score among valid candidates,,4800.0,,
648451171,209356540,42728554,P1,Vacuum Cleaner 30 Liter,256243937.0,Wireless Handheld Vacuum Cleaner,Only valid candidate by category compatibility and no contradictions,,1250.0,,
648482248,59432694,152298969,P1,Offline POS Machine,313720571.0,SHREYANS Handheld Pos Machine,Highest score among valid candidates,,17500.0,,
648494100,57771617,72509641,P1,Farsan Machine 9 Inch,,,,24000.0,,,
648494100,57771617,72509641,P2,Farsan Machine 7 Inch,,,,22500.0,,,
648504023,257406947,72509641,P1,Automatic Sugarcane Crusher Machine,,,,10.0,,,
648552499,120498092,24108739,P1,Leta Twin Ferrule Printing Machine PC Connectivity Model,,,,,,,
648552499,120498092,24108739,P2,Leta Twin Ferrule Printing Machine Manual Model,,,,,,,
648552499,120498092,24108739,P3,Leta Twin Ribbon Consumable Green and Black,,,,,,,
648552499,120498092,24108739,P4,Leta Twin Ribbon Consumable White,,,,,,,
